city,state_id,state_name,county_name,lat,lng
Aberdeen,OH,Ohio,Brown,38.6714,-83.7705
Ada,OH,Ohio,Hardin,40.7681,-83.8253
Adamsville,OH,Ohio,Muskingum,40.0689,-81.8826
Addyston,OH,Ohio,Hamilton,39.1371,-84.7104
Adelphi,OH,Ohio,Ross,39.4647,-82.7456
Adena,OH,Ohio,Jefferson,40.2166,-80.8762
Akron,OH,Ohio,Summit,41.0798,-81.5219
Albany,OH,Ohio,Athens,39.2245,-82.1977
Alexandria,OH,Ohio,Licking,40.0901,-82.612
Alger,OH,Ohio,Hardin,40.7096,-83.8441
Alliance,OH,Ohio,Stark,40.9107,-81.1189
Alvordton,OH,Ohio,Williams,41.6646,-84.4347
Amanda,OH,Ohio,Fairfield,39.6501,-82.7422
Amberley,OH,Ohio,Hamilton,39.2035,-84.4283
Amelia,OH,Ohio,Clermont,39.0229,-84.2184
Amesville,OH,Ohio,Athens,39.4016,-81.9549
Amherst,OH,Ohio,Lorain,41.4022,-82.2303
Amsterdam,OH,Ohio,Jefferson,40.4717,-80.9217
Andersonville,OH,Ohio,Ross,39.4338,-83.019
Andover,OH,Ohio,Ashtabula,41.6066,-80.5687
Anna,OH,Ohio,Shelby,40.3958,-84.176
Ansonia,OH,Ohio,Darke,40.2141,-84.6344
Antioch,OH,Ohio,Monroe,39.6608,-81.0668
Antwerp,OH,Ohio,Paulding,41.1798,-84.7377
Apple Creek,OH,Ohio,Wayne,40.7486,-81.8333
Apple Valley,OH,Ohio,Knox,40.4389,-82.3481
Aquilla,OH,Ohio,Geauga,41.5465,-81.173
Arcadia,OH,Ohio,Hancock,41.1078,-83.5144
Arcanum,OH,Ohio,Darke,39.9923,-84.5543
Archbold,OH,Ohio,Fulton,41.5165,-84.3036
Arlington,OH,Ohio,Hancock,40.8939,-83.6529
Arlington Heights,OH,Ohio,Hamilton,39.2153,-84.4555
Ashland,OH,Ohio,Ashland,40.8668,-82.3156
Ashley,OH,Ohio,Delaware,40.4098,-82.9516
Ashtabula,OH,Ohio,Ashtabula,41.8806,-80.7984
Ashville,OH,Ohio,Pickaway,39.7239,-82.9575
Athalia,OH,Ohio,Lawrence,38.5126,-82.3093
Athens,OH,Ohio,Athens,39.3269,-82.0988
Attica,OH,Ohio,Seneca,41.0634,-82.8873
Atwater,OH,Ohio,Portage,41.0266,-81.1622
Aurora,OH,Ohio,Portage,41.3118,-81.345
Austinburg,OH,Ohio,Ashtabula,41.7692,-80.8556
Austintown,OH,Ohio,Mahoning,41.0932,-80.7405
Avon,OH,Ohio,Lorain,41.4485,-82.0187
Avon Lake,OH,Ohio,Lorain,41.4945,-82.016
Bailey Lakes,OH,Ohio,Ashland,40.9489,-82.357
Bainbridge,OH,Ohio,Geauga,41.3944,-81.3366
Bairdstown,OH,Ohio,Wood,41.1711,-83.6072
Ballville,OH,Ohio,Sandusky,41.3269,-83.1367
Baltic,OH,Ohio,Tuscarawas,40.4436,-81.7016
Baltimore,OH,Ohio,Fairfield,39.846,-82.6047
Bannock,OH,Ohio,Belmont,40.1043,-80.9757
Barberton,OH,Ohio,Summit,41.0094,-81.6038
Barnesville,OH,Ohio,Belmont,39.9888,-81.1728
Barnhill,OH,Ohio,Tuscarawas,40.4497,-81.3679
Bascom,OH,Ohio,Seneca,41.129,-83.2869
Batavia,OH,Ohio,Clermont,39.0815,-84.1718
Batesville,OH,Ohio,Noble,39.9156,-81.2824
Bay View,OH,Ohio,Erie,41.468,-82.825
Bay Village,OH,Ohio,Cuyahoga,41.4851,-81.9315
Beach City,OH,Ohio,Stark,40.6531,-81.5796
Beachwood,OH,Ohio,Cuyahoga,41.4759,-81.503
Beallsville,OH,Ohio,Monroe,39.8489,-81.0354
Beaver,OH,Ohio,Pike,39.0319,-82.8252
Beavercreek,OH,Ohio,Greene,39.731,-84.0624
Beaverdam,OH,Ohio,Allen,40.8328,-83.974
Beckett Ridge,OH,Ohio,Butler,39.3448,-84.4381
Bedford,OH,Ohio,Cuyahoga,41.3919,-81.5359
Bedford Heights,OH,Ohio,Cuyahoga,41.4042,-81.5053
Beechwood Trails,OH,Ohio,Licking,40.0252,-82.6463
Bellaire,OH,Ohio,Belmont,40.0176,-80.7469
Bellbrook,OH,Ohio,Greene,39.6384,-84.0863
Belle Center,OH,Ohio,Logan,40.509,-83.7453
Belle Valley,OH,Ohio,Noble,39.7888,-81.5564
Bellefontaine,OH,Ohio,Logan,40.3627,-83.763
Bellevue,OH,Ohio,Huron,41.2743,-82.8394
Bellville,OH,Ohio,Sandusky,40.6292,-82.5238
Belmont,OH,Ohio,Belmont,40.0279,-81.041
Belmore,OH,Ohio,Putnam,41.1549,-83.9419
Beloit,OH,Ohio,Mahoning,40.9196,-80.9963
Belpre,OH,Ohio,Washington,39.2815,-81.5971
Bentleyville,OH,Ohio,Cuyahoga,41.4122,-81.4121
Benton Ridge,OH,Ohio,Hancock,41.0042,-83.7927
Bentonville,OH,Ohio,Adams,38.7455,-83.6103
Berea,OH,Ohio,Cuyahoga,41.3696,-81.8642
Bergholz,OH,Ohio,Jefferson,40.5208,-80.8851
Berkey,OH,Ohio,Lucas,41.7084,-83.8383
Berlin,OH,Ohio,Holmes,40.5628,-81.8011
Berlin Heights,OH,Ohio,Erie,41.3204,-82.4904
Bethel,OH,Ohio,Clermont,38.9627,-84.0846
Bethesda,OH,Ohio,Belmont,40.0164,-81.0727
Bettsville,OH,Ohio,Seneca,41.2441,-83.2338
Beulah Beach,OH,Ohio,Erie,41.3917,-82.4428
Beverly,OH,Ohio,Washington,39.55,-81.6362
Bexley,OH,Ohio,Franklin,39.965,-82.9343
Blacklick Estates,OH,Ohio,Franklin,39.9049,-82.8655
Bladensburg,OH,Ohio,Knox,40.2851,-82.2837
Blakeslee,OH,Ohio,Williams,41.5242,-84.7308
Blanchester,OH,Ohio,Clinton,39.2934,-83.9797
Bloomdale,OH,Ohio,Wood,41.1716,-83.5534
Bloomingburg,OH,Ohio,Fayette,39.6079,-83.3953
Bloomingdale,OH,Ohio,Jefferson,40.3422,-80.818
Bloomville,OH,Ohio,Seneca,41.0514,-83.0137
Blue Ash,OH,Ohio,Hamilton,39.248,-84.3827
Blue Jay,OH,Ohio,Hamilton,39.2308,-84.7443
Bluffton,OH,Ohio,Allen,40.8912,-83.8887
Boardman,OH,Ohio,Mahoning,41.0334,-80.6671
Bolindale,OH,Ohio,Trumbull,41.2089,-80.7784
Bolivar,OH,Ohio,Tuscarawas,40.6506,-81.4555
Boston Heights,OH,Ohio,Summit,41.2539,-81.509
Botkins,OH,Ohio,Shelby,40.4587,-84.1782
Bourneville,OH,Ohio,Ross,39.2829,-83.1596
Bowerston,OH,Ohio,Harrison,40.4273,-81.1874
Bowersville,OH,Ohio,Greene,39.5808,-83.7232
Bowling Green,OH,Ohio,Wood,41.3773,-83.65
