city,state_id,state_name,county_name,lat,lng
Abanda,AL,Alabama,Chambers,33.0926,-85.5253
Abbeville,AL,Alabama,Henry,31.5664,-85.2528
Adamsville,AL,Alabama,Jefferson,33.6063,-86.9745
Addison,AL,Alabama,Winston,34.2017,-87.1765
Akron,AL,Alabama,Hale,32.8785,-87.7429
Alabaster,AL,Alabama,Shelby,33.2198,-86.8225
Albertville,AL,Alabama,Marshall,34.2634,-86.2107
Alexander City,AL,Alabama,Tallapoosa,32.9242,-85.9361
Alexandria,AL,Alabama,Calhoun,33.7675,-85.8792
Aliceville,AL,Alabama,Pickens,33.1237,-88.1594
Allgood,AL,Alabama,Blount,33.9064,-86.5178
Altoona,AL,Alabama,Etowah,34.031,-86.3181
Andalusia,AL,Alabama,Covington,31.3101,-86.4781
Anderson,AL,Alabama,Lauderdale,34.9147,-87.2716
Anniston,AL,Alabama,Calhoun,33.6712,-85.8136
Arab,AL,Alabama,Marshall,34.3309,-86.4991
Ardmore,AL,Alabama,Limestone,34.9847,-86.8373
Argo,AL,Alabama,Jefferson,33.6961,-86.5066
Ariton,AL,Alabama,Dale,31.5978,-85.7131
Arley,AL,Alabama,Winston,34.0886,-87.2074
Ashford,AL,Alabama,Houston,31.1858,-85.2359
Ashland,AL,Alabama,Clay,33.2704,-85.8337
Ashville,AL,Alabama,St. Clair,33.8331,-86.2698
Athens,AL,Alabama,Limestone,34.7847,-86.951
Atmore,AL,Alabama,Escambia,31.0927,-87.4763
Attalla,AL,Alabama,Etowah,34.0049,-86.104
Auburn,AL,Alabama,Lee,32.6087,-85.4899
Autaugaville,AL,Alabama,Autauga,32.432,-86.6579
Avon,AL,Alabama,Houston,31.1799,-85.2802
Axis,AL,Alabama,Mobile,30.9296,-88.0179
Babbie,AL,Alabama,Covington,31.3022,-86.3229
Baileyton,AL,Alabama,Cullman,34.2609,-86.6082
Bakerhill,AL,Alabama,Barbour,31.7769,-85.2955
Ballplay,AL,Alabama,Etowah,34.0179,-85.7853
Banks,AL,Alabama,Pike,31.8132,-85.8364
Bay Minette,AL,Alabama,Baldwin,30.893,-87.7912
Bayou La Batre,AL,Alabama,Mobile,30.4126,-88.261
Bear Creek,AL,Alabama,Marion,34.2651,-87.7164
Beatrice,AL,Alabama,Monroe,31.7332,-87.209
Beaverton,AL,Alabama,Lamar,33.9354,-88.0218
Belgreen,AL,Alabama,Franklin,34.4767,-87.8653
Belk,AL,Alabama,Fayette,33.6516,-87.9286
Bellamy,AL,Alabama,Sumter,32.4582,-88.1277
Belle Fontaine,AL,Alabama,Mobile,30.492,-88.1131
Benton,AL,Alabama,Lowndes,32.3078,-86.818
Berlin,AL,Alabama,Cullman,34.1868,-86.7442
Berry,AL,Alabama,Fayette,33.6623,-87.6079
Bessemer,AL,Alabama,Jefferson,33.3709,-86.9713
Billingsley,AL,Alabama,Autauga,32.661,-86.7087
Birmingham,AL,Alabama,Jefferson,33.5277,-86.7987
Black,AL,Alabama,Geneva,31.0102,-85.7428
Blountsville,AL,Alabama,Blount,34.0814,-86.5867
Blue Ridge,AL,Alabama,Elmore,32.501,-86.1839
Blue Springs,AL,Alabama,Barbour,31.6635,-85.5035
Boaz,AL,Alabama,Marshall,34.1985,-86.1529
Boligee,AL,Alabama,Greene,32.7699,-88.0264
Bon Air,AL,Alabama,Talladega,33.2621,-86.3319
Bon Secour,AL,Alabama,Baldwin,30.3222,-87.7271
Boykin,AL,Alabama,Wilcox,32.0701,-87.2914
Brantley,AL,Alabama,Crenshaw,31.5822,-86.2569
Brantleyville,AL,Alabama,Shelby,33.2196,-86.882
Brent,AL,Alabama,Bibb,32.9421,-87.1753
Brewton,AL,Alabama,Escambia,31.1111,-87.0737
Bridgeport,AL,Alabama,Jackson,34.9495,-85.7243
Brighton,AL,Alabama,Jefferson,33.4393,-86.9454
Brilliant,AL,Alabama,Marion,34.0256,-87.7691
Bristow Cove,AL,Alabama,Etowah,34.1092,-86.241
Brook Highland,AL,Alabama,Shelby,33.4359,-86.6849
Brookside,AL,Alabama,Jefferson,33.638,-86.9014
Brookwood,AL,Alabama,Tuscaloosa,33.2397,-87.3277
Broomtown,AL,Alabama,Cherokee,34.3657,-85.5322
Brundidge,AL,Alabama,Pike,31.7182,-85.8177
Bucks,AL,Alabama,Mobile,31.017,-88.0249
Butler,AL,Alabama,Choctaw,32.0965,-88.2108
Calera,AL,Alabama,Shelby,33.1249,-86.745
Calvert,AL,Alabama,Washington,31.154,-88.0169
Camden,AL,Alabama,Wilcox,32.0007,-87.2967
Camp Hill,AL,Alabama,Tallapoosa,32.8002,-85.6536
Carbon Hill,AL,Alabama,Walker,33.8944,-87.5224
Cardiff,AL,Alabama,Jefferson,33.6472,-86.9307
Carlisle-Rockledge,AL,Alabama,Etowah,34.114,-86.1191
Carlton,AL,Alabama,Clarke,31.343,-87.8378
Carolina,AL,Alabama,Covington,31.2337,-86.5227
Carrollton,AL,Alabama,Pickens,33.2619,-88.0951
Castleberry,AL,Alabama,Conecuh,31.3001,-87.027
Cedar Bluff,AL,Alabama,Cherokee,34.2217,-85.5877
Center Point,AL,Alabama,Jefferson,33.6446,-86.6851
Centre,AL,Alabama,Cherokee,34.1551,-85.6699
Centreville,AL,Alabama,Bibb,32.9597,-87.1334
Chatom,AL,Alabama,Washington,31.4691,-88.246
Chelsea,AL,Alabama,Shelby,33.3255,-86.6299
Cherokee,AL,Alabama,Colbert,34.7577,-87.967
Chickasaw,AL,Alabama,Mobile,30.7714,-88.0793
Childersburg,AL,Alabama,Talladega,33.2961,-86.3457
Choccolocco,AL,Alabama,Calhoun,33.6683,-85.7129
Chunchula,AL,Alabama,Mobile,30.9237,-88.2072
Citronelle,AL,Alabama,Mobile,31.0952,-88.2468
Clanton,AL,Alabama,Chilton,32.844,-86.623
Clay,AL,Alabama,Jefferson,33.6976,-86.607
Clayhatchee,AL,Alabama,Dale,31.2434,-85.7136
Clayton,AL,Alabama,Barbour,31.8822,-85.4604
Cleveland,AL,Alabama,Blount,33.9965,-86.5671
Clio,AL,Alabama,Barbour,31.7085,-85.6109
Coaling,AL,Alabama,Tuscaloosa,33.1641,-87.3534
Coats Bend,AL,Alabama,Etowah,34.0774,-85.8742
Coffee Springs,AL,Alabama,Geneva,31.1664,-85.9102
Coffeeville,AL,Alabama,Clarke,31.7666,-88.0861
Coker,AL,Alabama,Tuscaloosa,33.2446,-87.6799
Collinsville,AL,Alabama,DeKalb,34.267,-85.8652
Colony,AL,Alabama,Cullman,33.9413,-86.9016
Columbia,AL,Alabama,Houston,31.2968,-85.1103
Columbiana,AL,Alabama,Shelby,33.193,-86.6115
Concord,AL,Alabama,Jefferson,33.4674,-87.0392
Coosada,AL,Alabama,Elmore,32.4983,-86.3279
Cordova,AL,Alabama,Walker,33.7613,-87.1925
Cottondale,AL,Alabama,Tuscaloosa,33.1922,-87.4544
Cottonwood,AL,Alabama,Houston,31.0552,-85.3007
County Line,AL,Alabama,Blount,33.821,-86.7198
Courtland,AL,Alabama,Lawrence,34.6703,-87.3262
Cowarts,AL,Alabama,Houston,31.2041,-85.3062
Creola,AL,Alabama,Mobile,30.8903,-88.01
Crossville,AL,Alabama,DeKalb,34.2853,-85.9997
Cuba,AL,Alabama,Sumter,32.441,-88.3755
Cullman,AL,Alabama,Cullman,34.1777,-86.8407
Cullomburg,AL,Alabama,Choctaw,31.7131,-88.2917
Cusseta,AL,Alabama,Chambers,32.7877,-85.3057
Dadeville,AL,Alabama,Tallapoosa,32.8326,-85.7675
Daleville,AL,Alabama,Dale,31.2915,-85.7117
Daphne,AL,Alabama,Baldwin,30.6286,-87.8866
Dauphin Island,AL,Alabama,Mobile,30.2525,-88.1438
Daviston,AL,Alabama,Tallapoosa,33.0556,-85.6371
Dayton,AL,Alabama,Marengo,32.3509,-87.6416
Deatsville,AL,Alabama,Elmore,32.5863,-86.3918
Decatur,AL,Alabama,Morgan,34.573,-86.9906
Deer Park,AL,Alabama,Washington,31.2198,-88.3226
Delta,AL,Alabama,Clay,33.447,-85.6746
Demopolis,AL,Alabama,Marengo,32.498,-87.8298
Detroit,AL,Alabama,Lamar,34.0274,-88.1678
Dodge City,AL,Alabama,Cullman,34.0453,-86.8837
Dora,AL,Alabama,Walker,33.7292,-87.085
Dothan,AL,Alabama,Houston,31.2335,-85.4069
Double Springs,AL,Alabama,Winston,34.1502,-87.3912
Douglas,AL,Alabama,Marshall,34.1705,-86.3224
Dozier,AL,Alabama,Crenshaw,31.5031,-86.3694
Dunnavant,AL,Alabama,Shelby,33.5006,-86.538
Dutton,AL,Alabama,Jackson,34.6062,-85.9119
East Brewton,AL,Alabama,Escambia,31.0906,-87.0556
East Point,AL,Alabama,Cullman,34.1859,-86.7927
Eclectic,AL,Alabama,Elmore,32.6387,-86.0386
Edgewater,AL,Alabama,Jefferson,33.5286,-86.9574
Edwardsville,AL,Alabama,Cleburne,33.8411,-85.4523
Egypt,AL,Alabama,Etowah,34.0759,-86.1651
Elba,AL,Alabama,Coffee,31.4172,-86.0759
Elberta,AL,Alabama,Baldwin,30.3855,-87.5888
Eldridge,AL,Alabama,Walker,33.922,-87.6201
